29.6414 	EXP 	New trial (rep=18, index=0): None
29.6443 	DATA 	Keypress: down
29.6543 	EXP 	fixation: autoDraw = False
29.6543 	EXP 	grating: autoDraw = False
29.6543 	EXP 	grating: ori = 1.0
29.6543 	EXP 	fixation: autoDraw = True
30.6510 	EXP 	fixation: autoDraw = False
30.6510 	EXP 	grating: autoDraw = True
30.9504 	EXP 	grating: autoDraw = False
31.4060 	EXP 	New trial (rep=19, index=0): None
31.4079 	DATA 	Keypress: up
31.4191 	EXP 	fixation: autoDraw = False
31.4191 	EXP 	grating: autoDraw = False
31.4191 	EXP 	grating: ori = 0.0
31.4191 	EXP 	fixation: autoDraw = True
32.4157 	EXP 	fixation: autoDraw = False
32.4157 	EXP 	grating: autoDraw = True
32.7154 	EXP 	grating: autoDraw = False
33.0379 	EXP 	New trial (rep=20, index=0): None
33.0401 	DATA 	Keypress: up
33.0513 	EXP 	fixation: autoDraw = False
33.0513 	EXP 	grating: autoDraw = False
33.0513 	EXP 	grating: ori = 0.0
33.0513 	EXP 	fixation: autoDraw = True
34.0477 	EXP 	fixation: autoDraw = False
34.0477 	EXP 	grating: autoDraw = True
34.3475 	EXP 	grating: autoDraw = False
34.7534 	EXP 	New trial (rep=21, index=0): None
34.7557 	DATA 	Keypress: down
34.7668 	EXP 	fixation: autoDraw = False
34.7668 	EXP 	grating: autoDraw = False
34.7668 	EXP 	grating: ori = 0.0
34.7668 	EXP 	fixation: autoDraw = True
35.7662 	EXP 	grating: autoDraw = True
35.7796 	EXP 	fixation: autoDraw = False
36.0794 	EXP 	grating: autoDraw = False
36.5677 	EXP 	New trial (rep=22, index=0): None
36.5703 	DATA 	Keypress: up
36.5819 	EXP 	fixation: autoDraw = False
36.5819 	EXP 	grating: autoDraw = False
36.5819 	EXP 	grating: ori = 0.0
36.5819 	EXP 	fixation: autoDraw = True
37.5781 	EXP 	fixation: autoDraw = False
37.5781 	EXP 	grating: autoDraw = True
37.8775 	EXP 	grating: autoDraw = False
38.3666 	EXP 	New trial (rep=23, index=0): None
38.3686 	DATA 	Keypress: up
38.3800 	EXP 	fixation: autoDraw = False
38.3800 	EXP 	grating: autoDraw = False
38.3800 	EXP 	grating: ori = -4.0
38.3800 	EXP 	fixation: autoDraw = True
39.3765 	EXP 	fixation: autoDraw = False
39.3765 	EXP 	grating: autoDraw = True
39.6763 	EXP 	grating: autoDraw = False
39.9637 	EXP 	New trial (rep=24, index=0): None
39.9649 	DATA 	Keypress: down
39.9788 	EXP 	fixation: autoDraw = False
39.9788 	EXP 	grating: autoDraw = False
39.9788 	EXP 	grating: ori = 0.0
39.9788 	EXP 	fixation: autoDraw = True
40.9752 	EXP 	fixation: autoDraw = False
40.9752 	EXP 	grating: autoDraw = True
41.2747 	EXP 	grating: autoDraw = False
41.7643 	EXP 	New trial (rep=25, index=0): None
41.7664 	DATA 	Keypress: up
41.7771 	EXP 	fixation: autoDraw = False
41.7771 	EXP 	grating: autoDraw = False
41.7771 	EXP 	grating: ori = 0.0
41.7771 	EXP 	fixation: autoDraw = True
42.7738 	EXP 	fixation: autoDraw = False
42.7738 	EXP 	grating: autoDraw = True
43.0734 	EXP 	grating: autoDraw = False
43.4421 	EXP 	New trial (rep=26, index=0): None
43.4434 	DATA 	Keypress: up
43.4591 	EXP 	fixation: autoDraw = False
43.4591 	EXP 	grating: autoDraw = False
43.4591 	EXP 	grating: ori = 0.0
43.4591 	EXP 	fixation: autoDraw = True
44.4417 	EXP 	grating: autoDraw = True
44.4554 	EXP 	fixation: autoDraw = False
44.7552 	EXP 	grating: autoDraw = False
44.9602 	EXP 	New trial (rep=27, index=0): None
44.9619 	DATA 	Keypress: up
44.9747 	EXP 	fixation: autoDraw = False
44.9747 	EXP 	grating: autoDraw = False
44.9747 	EXP 	grating: ori = 0.0
44.9747 	EXP 	fixation: autoDraw = True
